layer,temperature,ap_index,sample_index,ok,binding_ok,compatibility_ok,availability_ok,min_skill_ok,binding_violations,compatibility_violations,availability_violations,min_skill_violations
1,1000.0,1,0,1,True,True,True,True,0,0,0,0
1,1000.0,6,1,1,True,True,True,True,0,0,0,0
1,1000.0,3,2,1,True,True,True,True,0,0,0,0
1,1000.0,2,3,1,True,True,True,True,0,0,0,0
1,1000.0,7,4,1,True,True,True,True,0,0,0,0
1,1000.0,5,5,1,True,True,True,True,0,0,0,0
1,1000.0,0,6,1,True,True,True,True,0,0,0,0
1,1000.0,4,7,1,True,True,True,True,0,0,0,0
2,950.0,4,0,1,True,True,True,True,0,0,0,0
2,950.0,3,1,1,True,True,True,True,0,0,0,0
2,950.0,2,2,1,True,True,True,True,0,0,0,0
2,950.0,0,3,1,True,True,True,True,0,0,0,0
2,950.0,5,4,1,True,True,True,True,0,0,0,0
2,950.0,1,5,1,True,True,True,True,0,0,0,0
3,902.5,3,0,1,True,True,True,True,0,0,0,0
3,902.5,4,1,1,True,True,True,True,0,0,0,0
3,902.5,1,2,1,True,True,True,True,0,0,0,0
3,902.5,0,3,1,True,True,True,True,0,0,0,0
3,902.5,2,4,1,True,True,True,True,0,0,0,0
