phase,layer,temperature,rp_index,vns_iter,c_ops,c_valid,c_repair_failed,c_empty,accepted
mosa,1,1000.0,0,1,8,8,0,0,1
mosa,1,1000.0,0,2,8,8,0,0,1
mosa,1,1000.0,1,1,8,8,0,0,1
mosa,1,1000.0,1,2,8,8,0,0,1
mosa,1,1000.0,2,1,8,8,0,0,1
mosa,1,1000.0,2,2,8,8,0,0,1
mosa,1,1000.0,3,1,8,8,0,0,1
mosa,1,1000.0,3,2,8,8,0,0,1
mosa,1,1000.0,4,1,8,8,0,0,1
mosa,1,1000.0,4,2,8,8,0,0,1
mosa,1,1000.0,5,1,8,8,0,0,1
mosa,1,1000.0,5,2,8,8,0,0,1
mosa,1,1000.0,6,1,8,8,0,0,1
mosa,1,1000.0,6,2,8,8,0,0,1
mosa,1,1000.0,7,1,8,8,0,0,1
mosa,1,1000.0,7,2,8,8,0,0,1
mosa,1,1000.0,8,1,8,8,0,0,1
mosa,1,1000.0,8,2,8,8,0,0,1
mosa,1,1000.0,9,1,8,8,0,0,1
mosa,1,1000.0,9,2,8,8,0,0,1
mosa,1,1000.0,10,1,8,8,0,0,1
mosa,1,1000.0,10,2,8,8,0,0,1
mosa,1,1000.0,11,1,8,8,0,0,1
mosa,1,1000.0,11,2,8,8,0,0,1
mosa,1,1000.0,12,1,8,8,0,0,1
mosa,1,1000.0,12,2,8,8,0,0,1
mosa,1,1000.0,13,1,8,8,0,0,1
mosa,1,1000.0,13,2,8,8,0,0,1
mosa,1,1000.0,14,1,8,8,0,0,1
mosa,1,1000.0,14,2,8,8,0,0,1
mosa,1,1000.0,15,1,8,8,0,0,1
mosa,1,1000.0,15,2,8,8,0,0,1
mosa,1,1000.0,16,1,8,8,0,0,1
mosa,1,1000.0,16,2,8,8,0,0,1
mosa,1,1000.0,17,1,8,8,0,0,1
mosa,1,1000.0,17,2,8,8,0,0,1
mosa,1,1000.0,18,1,8,8,0,0,1
mosa,1,1000.0,18,2,8,8,0,0,1
mosa,1,1000.0,19,1,8,8,0,0,1
mosa,1,1000.0,19,2,8,8,0,0,1
mosa,1,1000.0,20,1,8,8,0,0,1
mosa,1,1000.0,20,2,8,8,0,0,1
mosa,1,1000.0,21,1,8,8,0,0,1
mosa,1,1000.0,21,2,8,8,0,0,1
mosa,1,1000.0,22,1,8,8,0,0,1
mosa,1,1000.0,22,2,8,8,0,0,1
mosa,1,1000.0,23,1,8,8,0,0,1
mosa,1,1000.0,23,2,8,8,0,0,1
mosa,1,1000.0,24,1,8,8,0,0,1
mosa,1,1000.0,24,2,8,8,0,0,1
mosa,1,1000.0,25,1,8,8,0,0,1
mosa,1,1000.0,25,2,8,8,0,0,1
mosa,1,1000.0,26,1,8,8,0,0,1
mosa,1,1000.0,26,2,8,8,0,0,1
mosa,1,1000.0,27,1,8,8,0,0,1
mosa,1,1000.0,27,2,8,8,0,0,1
mosa,1,1000.0,28,1,8,8,0,0,1
mosa,1,1000.0,28,2,8,8,0,0,1
mosa,2,950.0,0,1,8,8,0,0,1
mosa,2,950.0,0,2,8,8,0,0,1
mosa,2,950.0,1,1,8,8,0,0,1
mosa,2,950.0,1,2,8,8,0,0,1
mosa,2,950.0,2,1,8,8,0,0,1
mosa,2,950.0,2,2,8,8,0,0,1
mosa,2,950.0,3,1,8,8,0,0,1
mosa,2,950.0,3,2,8,8,0,0,1
mosa,2,950.0,4,1,8,8,0,0,1
mosa,2,950.0,4,2,8,8,0,0,1
mosa,2,950.0,5,1,8,8,0,0,1
mosa,2,950.0,5,2,8,8,0,0,1
mosa,2,950.0,6,1,8,8,0,0,1
mosa,2,950.0,6,2,8,8,0,0,1
mosa,2,950.0,7,1,8,8,0,0,1
mosa,2,950.0,7,2,8,8,0,0,1
mosa,3,902.5,0,1,8,8,0,0,1
mosa,3,902.5,0,2,8,8,0,0,1
mosa,3,902.5,1,1,8,8,0,0,1
mosa,3,902.5,1,2,8,8,0,0,1
mosa,3,902.5,2,1,8,8,0,0,1
mosa,3,902.5,2,2,8,8,0,0,1
mosa,3,902.5,3,1,8,8,0,0,1
mosa,3,902.5,3,2,8,8,0,0,1
mosa,3,902.5,4,1,8,8,0,0,1
mosa,3,902.5,4,2,8,8,0,0,1
mosa,3,902.5,5,1,8,8,0,0,1
mosa,3,902.5,5,2,8,8,0,0,1
